id,location,name,type
55cba2476c522cafdb053b22,"[40.7250067, -73.98146]","7B Bar","Point"
55cba2476c522cafdb053b23,"[40.7293762, -73.86137149999999]","Ben-Best Deli & Restaurant","Point"
55cba2476c522cafdb053b24,"[40.7659436, -73.9805679]","Cafe Atelier (Art Students League)","Point"
55cba2476c522cafdb053b25,"[40.765431, -73.965531]","Donohue'S Steak House","Point"
55cba2476c522cafdb053b26,"[40.6901211, -73.9818918]","Junior'S","Point"
55cba2476c522cafdb053b27,"[40.763406, -73.98621899999999]","Tout Va Bien","Point"
55cba2476c522cafdb053b28,"[40.546681, -74.138263]","Great Kills Yacht Club","Point"
55cba2476c522cafdb053b29,"[40.7432016, -73.9775552]","Marchis Restaurant","Point"
55cba2476c522cafdb053b2a,"[40.5877993, -73.95443709999999]","Towne Cafe","Point"
55cba2476c522cafdb053b2b,"[40.6627235, -73.840437]","New Park Pizzeria & Restaurant","Point"
55cba2476c522cafdb053b2c,"[40.761899, -73.96485799999999]","Serendipity 3","Point"
55cba2476c522cafdb053b2d,"[40.7766941, -73.7522366]","Douglaston Club","Point"
55cba2476c522cafdb053b2e,"[40.763377, -73.9151096]","Rizzo'S Fine Pizza","Point"
55cba2476c522cafdb053b2f,"[40.652779, -74.002944]","Melody Lanes","Point"
55cba2476c522cafdb053b30,"[40.8304811, -73.84971759999999]","The New Starling Athletic Club Of The Bronx","Point"
55cba2476c522cafdb053b31,"[40.735663, -74.00619499999999]","White Horse Tavern","Point"
55cba2476c522cafdb053b32,"[40.59321569999999, -74.0707363]","Crystal Room","Point"
55cba2476c522cafdb053b33,"[40.6096914, -74.07444319999999]","Labetti'S Post # 2159","Point"
55cba2476c522cafdb053b34,"[40.588853, -73.9727638]","Shell Lanes","Point"
55cba2476c522cafdb053b35,"[40.7287978, -73.9896713]","Mcsorley'S Old Ale House","Point"
55cba2476c522cafdb053b36,"[40.7169224, -73.99950489999999]","Forlinis Restaurant","Point"
55cba2476c522cafdb053b37,"[40.5071996, -74.2274942]","South Shore Swimming Club","Point"
55cba2476c522cafdb053b38,"[40.7380122, -74.0037823]","Corner Bistro","Point"
55cba2476c522cafdb053b39,"[40.6509823, -73.94933739999999]","Nostrand Donut Shop","Point"
55cba2476c522cafdb053b3a,"[40.7596796, -73.97557069999999]","La Grenouille","Point"
55cba2476c522cafdb053b3b,"[40.776325, -73.952449]","Dorrian'S Red Hand Restaurant","Point"
55cba2476c522cafdb053b3c,"[40.8422945, -73.9395182]","Como Pizza","Point"
55cba2476c522cafdb053b3d,"[40.7188698, -73.9973041]","Angelo Of Mulberry St.","Point"
55cba2476c522cafdb053b3e,"[40.729795, -74.001043]","Panchito'S","Point"
55cba2476c522cafdb053b3f,"[40.6284767, -74.0166091]","New Corner","Point"
55cba2476c522cafdb053b40,"[40.741207, -74.004758]","Old Homestead","Point"
55cba2476c522cafdb053b41,"[-16.3550032, -48.9424]","Dining Room","Point"
55cba2476c522cafdb053b42,"[40.7547107, -73.98126069999999]","The Princeton Club","Point"
55cba2476c522cafdb053b43,"[40.7550069, -73.9646207]","Le Perigord","Point"
55cba2476c522cafdb053b44,"[40.6129407, -74.1220973]","Joe & Pat'S Pizzeria","Point"
55cba2476c522cafdb053b45,"[40.8497077, -73.9365108]","Reynold'S Bar","Point"
55cba2476c522cafdb053b46,"[40.751495, -73.97063700000001]","Keats Restaurant","Point"
55cba2476c522cafdb053b47,"[40.7371344, -73.9979214]","Spain Restaurant & Bar","Point"
55cba2476c522cafdb053b48,"[40.7253944, -73.9446421]","Palace Cafe","Point"
55cba2476c522cafdb053b49,"[40.8275556, -73.92506]","Yankee Tavern","Point"
55cba2476c522cafdb053b4a,"[40.7386361, -73.99987229999999]","Donut Pub","Point"
55cba2476c522cafdb053b4b,"[40.7452371, -74.0056649]","Moran'S Chelsea","Point"
55cba2476c522cafdb053b4c,"[40.8033908, -73.96392089999999]","V & T Restaurant","Point"
55cba2476c522cafdb053b4d,"[40.7090147, -73.9590059]","Reben Luncheonette","Point"
55cba2476c522cafdb053b4e,"[40.7271312, -73.7867565]","King Yum Restaurant","Point"
