id_vecindario,polygonNumber,id_restaurante
55cb9c666c522cafdb053a9b,0,55cba2476c522cafdb053add
55cb9c666c522cafdb053aa2,0,55cba2476c522cafdb053ade
55cb9c666c522cafdb053ab6,0,55cba2476c522cafdb053adf
55cb9c666c522cafdb053a95,0,55cba2476c522cafdb053ae0
55cb9c666c522cafdb053a3b,0,55cba2476c522cafdb053ae1
55cb9c666c522cafdb053a71,0,55cba2476c522cafdb053ae2
55cb9c666c522cafdb053a7f,0,55cba2476c522cafdb053ae3
55cb9c666c522cafdb053a52,0,55cba2476c522cafdb053ae4
55cb9c666c522cafdb053a29,0,55cba2476c522cafdb053ae5
55cb9c666c522cafdb053a57,0,55cba2476c522cafdb053ae6
55cb9c666c522cafdb053ad0,18,55cba2476c522cafdb053ae7
55cb9c666c522cafdb053a55,0,55cba2476c522cafdb053ae8
55cb9c666c522cafdb053a33,0,55cba2476c522cafdb053ae9
55cb9c666c522cafdb053a47,0,55cba2476c522cafdb053aea
55cb9c666c522cafdb053a7a,0,55cba2476c522cafdb053aeb
55cb9c666c522cafdb053a26,0,55cba2476c522cafdb053aec
55cb9c666c522cafdb053a2f,0,55cba2476c522cafdb053aed
55cb9c666c522cafdb053a6e,0,55cba2476c522cafdb053aee
55cb9c666c522cafdb053a35,0,55cba2476c522cafdb053aef
55cb9c666c522cafdb053a90,1,55cba2476c522cafdb053af0
55cb9c666c522cafdb053aa5,1,55cba2476c522cafdb053af1
55cb9c666c522cafdb053a4c,0,55cba2476c522cafdb053af2
55cb9c666c522cafdb053ab1,0,55cba2476c522cafdb053af3
55cb9c666c522cafdb053a67,0,55cba2476c522cafdb053af4
55cb9c666c522cafdb053ab1,0,55cba2476c522cafdb053af5
55cb9c666c522cafdb053a4c,0,55cba2476c522cafdb053af6
55cb9c666c522cafdb053ad2,0,55cba2476c522cafdb053af7
55cb9c666c522cafdb053a5b,0,55cba2476c522cafdb053af8
55cb9c666c522cafdb053a74,7,55cba2476c522cafdb053af9
55cb9c666c522cafdb053a1f,0,55cba2476c522cafdb053afa
